phonetic_rep,english_translation,pos,source,structure
bri,sow,VERB,Sheini 2021 p.28,CCV
pri,share,VERB,Sheini 2021 p.28,CCV
fri,get stuck,VERB,Sheini 2021 p.28,CCV
bli,germinate,VERB,Sheini 2021 p.28,CCV
pli,cover,VERB,Sheini 2021 p.28,CCV
gli,go around,VERB,Sheini 2021 p.28,CCV
gbri,draw,VERB,Sheini 2021 p.28,CCCV
píígí,choose,VERB,Sheini 2021 p.29,CVVCV
bé ,live,VERB,Sheini 2021 p.29,CV
bì ,be mature,VERB,Sheini 2021 p.29,CV
nám,create,VERB,Sheini 2021 p.30,CVC
niɛ́m,grind,VERB,Sheini 2021 p.30,CVVC
fá ,snatch,VERB,Sheini 2021 p.30,CV
fààkó,relieve,VERB,Sheini 2021 p.30,CVVCV
fé,pinch,VERB,Sheini 2021 p.30,CV
fóóí ,withdraw,VERB,Sheini 2021 p.30,CVVV
fúɣí,undress,VERB,Sheini 2021 p.30,CVCV
fí,submerge,VERB,Sheini 2021 p.30,CV
mɛ́rígí ,destroy with pressure,VERB,Sheini 2021 p.30,CVCVCV
mͻ́rí,swell up,VERB,Sheini 2021 p.30,CVCV
déégí,collect,VERB,Sheini 2021 p.31,CVVCV
dͻ̀ɣì ,give birth,VERB,Sheini 2021 p.31,CVCV
lílí ,vanish,VERB,Sheini 2021 p.33,CVCV
ló,tie,VERB,Sheini 2021 p.33,CV
lèlí ,lick,VERB,Sheini 2021 p.33,CVCV
ʃé ,roast,VERB,Sheini 2021 p.35,CV
kͻ́rígí ,slaughter,VERB,Sheini 2021 p.36,CVCVCV
gɨlɨ ,go around,VERB,Sheini 2021 p.37,CVCV
gúúí ,run,VERB,Sheini 2021 p.37,CVVV
góógí ,stop a fight or car,VERB,Sheini 2021 p.37,CVVCV
